name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン朱雀-鉄壁,2019-12,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.024003738,0.1489136697724327,0.1249099317724327
シン朱雀-鉄壁,2020-01,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.1681109004,0.0793321156483687,0.2474430160483687
シン朱雀-鉄壁,2024-04,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.1631942919,-0.1773656442656733,0.3405599361656733
シン朱雀-鉄壁,2024-05,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.0636815562,0.235349960801382,0.29903151700138203
シン朱雀-鉄壁,2025-06,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",-0.0982249132,0.2495749115949125,0.3477998247949125
シン朱雀-鉄壁,2025-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,TMV,"TECL,TQQQ",0.0169120923,0.0581410742148489,0.041228981914848896
シン玄武-激攻,2015-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TQQQ,-0.018298284,0.0169238078307401,0.0352220918307401
シン玄武-激攻,2016-02,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,XLU,-0.0186189492,0.0294177506557014,0.0480366998557014
シン玄武-激攻,2016-05,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TQQQ,0.0142414491,0.1111708928102919,0.0969294437102919
シン玄武-激攻,2019-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TQQQ,-0.0036872587,0.01010699069294,0.01379424939294
シン玄武-鉄壁,2012-03,partial,RC1_BOUNDARY_MONTH_SIGNAL_AND_RETURN,YES,YES,Cash,XLU,0.0,0.0130097640399142,0.0130097640399142
