name,variant_id,uuid,year_month,prod_return_open,gs_return_open,diff_open,prod_return_close,gs_return_close,diff_close,parity_status
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-03,0.0,,,0.0,,,N/A
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-04,0.0750611158,0.0750611158,0.0,0.0782508168,0.0782508168,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-05,-0.0534418991,-0.0534418991,0.0,-0.0993361001,-0.0993361001,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-06,-0.06089787,-0.06089787,0.0,0.0393812042,0.0393812042,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-07,0.0785452762,0.0785452762,0.0,-0.0154578435,-0.0154578435,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-08,-0.2184758109,-0.2184758109,0.0,-0.2074125462,-0.2074125462,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-09,-0.1728522634,-0.1728522634,0.0,-0.1873698768,-0.1873698768,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-10,0.256086168,0.256086168,0.0,0.3167153453,0.3167153453,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-11,-0.0304491171,-0.0304491171,0.0,-0.0051502238,-0.0051502238,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2011-12,0.025268413,0.025268413,0.0,0.0054562551,0.0054562551,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-01,0.221524063,0.221524063,0.0,0.2297504554,0.2297504554,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-02,0.1949173208,0.1949173208,0.0,0.2010884872,0.2010884872,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-03,0.1381269811,0.1381269811,0.0,0.1615771509,0.1615771509,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-04,-0.0861332193,-0.0861332193,0.0,-0.1056454217,-0.1056454217,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-05,-0.2415243348,-0.2415243348,0.0,-0.2711493436,-0.2711493436,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-06,0.1614171352,0.1614171352,0.0,0.2011450341,0.2011450341,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-07,0.0408768401,0.0408768401,0.0,0.0047617875,0.0047617875,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-08,0.1304610697,0.1304610697,0.0,0.1674563591,0.1674563591,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-09,0.042194828,0.042194828,0.0,0.0213120151,0.0213120151,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-10,-0.1530082529,-0.1530082529,0.0,-0.1167596514,-0.1167596514,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-11,0.0364759252,0.0364759252,0.0,-0.0150003412,-0.0150003412,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2012-12,0.0279678062,0.0279678062,0.0,0.0774778839,0.0774778839,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-01,0.0245050235,0.0245050235,0.0,0.0169611502,0.0169611502,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-02,-0.0262048287,-0.0262048287,0.0,-0.0159827321,-0.0159827321,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-03,0.1043878963,0.1043878963,0.0,0.0554372914,0.0554372914,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-04,0.0660681105,0.0660681105,0.0,0.0766152781,0.0766152781,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-05,0.1095260553,0.1095260553,0.0,0.1278743265,0.1278743265,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-06,-0.0600035533,-0.0600035533,0.0,-0.0659872133,-0.0659872133,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-07,0.045986519,0.045986519,0.0,0.0653932629,0.0653932629,0.0,PASS
旧四神・青龍,f8d70415-24f2-4b1a-a603-d0e86155255a,f8d70415-24f2-4b1a-a603-d0e86155255a,2013-08,-0.0482851148,-0.0482851148,0.0,-0.0687047831,-0.0687047831,0.0,PASS
