pid,name,year_month,prod_signal,prod_holding_signal
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-02,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-03,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-04,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-06,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-07,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-08,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-09,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-10,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-11,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2017-12,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-01,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-02,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-03,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-04,TECL,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-05,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-06,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-07,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-08,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-09,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-10,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-11,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2018-12,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-01,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-02,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-03,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-04,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-05,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-06,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-07,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-08,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-09,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-10,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-11,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2019-12,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-01,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-02,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-03,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-04,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-06,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-07,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-08,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-09,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-10,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-11,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2020-12,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-01,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-02,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-03,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-04,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-05,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-06,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-07,XLU,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-08,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-09,TQQQ,TQQQ
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-10,TECL,TECL
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-11,XLU,XLU
DM2_SXLU_T1_M_L2502,シン青龍-激攻,2021-12,XLU,XLU
