# precision: git commit 時刻が SSOT(状態遷移ごとの commit 以降は事象時刻≈commit 時刻。08-28 09:15 以前は 30 分束 commit ゆえ 0m が多い)
id	state	registered_at	started_at	resolved_at	lead_start_min	lead_resolve_min	reopened
T48b	x	2026-08-27T08:55:56+09:00	2026-08-27T08:55:56+09:00	2026-08-27T08:55:56+09:00	0	0	no
T51	x	2026-08-27T08:55:56+09:00	2026-08-27T09:40:48+09:00	2026-08-27T14:14:54+09:00	44	274	no
T52	x	2026-08-27T09:04:26+09:00	2026-08-27T09:04:26+09:00	2026-08-27T09:04:26+09:00	0	0	no
T40	x	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	2026-08-27T20:31:45+09:00	0	683	no
T48c	x	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	0	0	no
T53	x	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	0	0	no
T54	x	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	2026-08-27T09:08:32+09:00	0	0	no
T55	x	2026-08-27T09:35:47+09:00	2026-08-27T09:35:47+09:00	2026-08-27T09:35:47+09:00	0	0	no
T56	x	2026-08-27T09:35:47+09:00	2026-08-27T11:34:45+09:00	2026-08-27T14:11:58+09:00	118	157	no
T57	x	2026-08-27T10:35:43+09:00	2026-08-27T11:34:45+09:00	2026-08-27T12:19:28+09:00	59	44	no
T58	x	2026-08-27T11:06:30+09:00	2026-08-27T11:12:43+09:00	2026-08-27T14:07:24+09:00	6	174	no
T59	x	2026-08-27T11:06:30+09:00	2026-08-27T11:06:30+09:00	2026-08-27T11:06:30+09:00	0	0	no
T60	x	2026-08-27T11:34:45+09:00	2026-08-27T20:35:55+09:00	2026-08-27T20:35:55+09:00	541	0	no
T61	x	2026-08-27T12:05:53+09:00	2026-08-27T12:05:53+09:00	2026-08-27T12:05:53+09:00	0	0	no
T62	x	2026-08-27T12:33:28+09:00	2026-08-27T12:33:28+09:00	2026-08-27T12:33:28+09:00	0	0	no
T63	x	2026-08-27T13:12:55+09:00	2026-08-27T14:33:23+09:00	2026-08-27T15:45:22+09:00	80	71	no
T64	x	2026-08-27T13:28:56+09:00	2026-08-27T13:28:56+09:00	2026-08-27T14:07:24+09:00	0	38	no
T65	x	2026-08-27T13:28:56+09:00	2026-08-27T13:28:56+09:00	2026-08-27T14:08:47+09:00	0	39	no
T66	x	2026-08-27T13:47:56+09:00	2026-08-27T14:33:23+09:00	2026-08-27T19:33:04+09:00	45	299	no
T67	x	2026-08-27T14:07:24+09:00	2026-08-27T14:07:24+09:00	2026-08-27T16:39:02+09:00	0	151	no
T68	x	2026-08-27T14:38:01+09:00	2026-08-27T14:38:01+09:00	2026-08-27T15:45:22+09:00	0	67	no
T69	x	2026-08-27T15:10:05+09:00	2026-08-27T15:10:05+09:00	2026-08-27T15:24:59+09:00	0	14	no
T70	x	2026-08-27T15:10:05+09:00	2026-08-27T23:05:14+09:00	2026-08-28T01:36:03+09:00	475	150	no
T71	x	2026-08-27T15:24:59+09:00	2026-08-27T15:24:59+09:00	2026-08-27T20:31:45+09:00	0	306	no
T72	x	2026-08-27T15:24:59+09:00	2026-08-27T15:24:59+09:00	2026-08-27T15:38:26+09:00	0	13	no
T73	x	2026-08-27T15:24:59+09:00	2026-08-27T20:40:05+09:00	2026-08-27T20:40:05+09:00	315	0	no
T74	x	2026-08-27T15:27:04+09:00	2026-08-27T15:27:04+09:00	2026-08-27T16:39:02+09:00	0	71	no
